cust_id,age,gender,marital_status,employment_status,income,number_of_dependants,residence_type,years_at_current_address,city,state,zipcode
C00041,47,M,Married,Self-Employed,4443000,4,Owned,27,Chennai,Tamil Nadu,600001
C00042,41,M,Single,Self-Employed,3034000,1,Owned,31,Hyderabad,Telangana,500001
C00043,38,M,Single,Self-Employed,568000,0,Owned,11,Jaipur,Rajasthan,302001
C00044,36,M,Married,Salaried,1425000,4,Rented,11,Mumbai,Maharashtra,400001
C00045,25,M,Married,Self-Employed,11058000,2,Rented,3,Kolkata,West Bengal,700001
C00046,32,F,Single,Salaried,740000,1,Owned,26,Pune,Maharashtra,411001
C00047,35,M,Single,Salaried,1772000,2,Rented,21,Jaipur,Rajasthan,302001
C00048,50,F,Single,Salaried,794000,0,Owned,24,Kolkata,West Bengal,700001
C00049,43,M,Married,Salaried,2365000,4,Owned,2,Mumbai,Maharashtra,400001
C00050,22,M,Single,Self-Employed,940000,1,Owned,9,Pune,Maharashtra,411001
C00051,43,M,Single,Self-Employed,3331000,0,Owned,17,Mumbai,Maharashtra,400001
C00052,36,M,Married,Self-Employed,2666000,3,Owned,31,Delhi,Delhi,110001
C00053,33,M,Single,Salaried,461000,0,Mortgage,10,Mumbai,Maharashtra,400001
C00054,46,M,Married,Salaried,7507000,3,Mortgage,17,Bangalore,Karnataka,560001
C00055,50,F,Single,Self-Employed,1339000,0,Mortgage,19,Bangalore,Karnataka,560001
C00056,49,F,Single,Self-Employed,3612000,1,Owned,25,Jaipur,Rajasthan,302001
C00057,31,M,Single,Salaried,881000,0,Owned,10,Mumbai,Maharashtra,400001
C00058,36,M,Married,Salaried,354000,4,Owned,22,Delhi,Delhi,110001
C00059,43,F,Single,Self-Employed,533000,0,Owned,22,Delhi,Delhi,110001
C00060,49,M,Single,Self-Employed,6941000,0,Rented,4,Kolkata,West Bengal,700001
C00061,35,M,Married,Salaried,217000,2,Mortgage,2,Delhi,Delhi,110001
C00062,38,M,Single,Self-Employed,1955000,0,Mortgage,26,Chennai,Tamil Nadu,600001
C00063,28,M,Married,Salaried,1690000,4,Rented,13,Mumbai,Maharashtra,400001
C00064,28,M,Married,Salaried,1111000,2,Owned,6,Delhi,Delhi,110001
C00065,48,M,Single,Self-Employed,922000,0,Owned,11,Bangalore,Karnataka,560001
C00066,53,M,Married,Self-Employed,7274000,3,Mortgage,21,Bangalore,Karnataka,560001
C00067,39,M,Single,Salaried,630000,1,Owned,2,Chennai,Tamil Nadu,600001
C00068,50,M,Single,Salaried,1795000,1,Owned,18,Lucknow,Uttar Pradesh,226001
C00069,43,M,Single,Salaried,624000,0,Owned,14,Jaipur,Rajasthan,302001
C00070,33,M,Married,Self-Employed,5335000,4,Rented,29,Jaipur,Rajasthan,302001
C00071,43,M,Married,Self-Employed,540000,3,Mortgage,28,Mumbai,Maharashtra,400001
C00072,55,M,Married,Salaried,3147000,3,Owned,18,Delhi,Delhi,110001
C00073,39,M,Married,Salaried,1667000,3,Owned,2,Mumbai,Maharashtra,400001
C00074,55,M,Married,Self-Employed,1085000,3,Owned,20,Bangalore,Karnataka,560001
C00075,18,M,Single,Self-Employed,385000,0,Rented,10,Bangalore,Karnataka,560001
C00076,48,M,Single,Self-Employed,1025000,0,Owned,13,Hyderabad,Telangana,500001
C00077,40,M,Single,Self-Employed,2892000,1,Rented,16,Lucknow,Uttar Pradesh,226001
C00078,37,M,Single,Self-Employed,7713000,1,Owned,10,Delhi,Delhi,110001
C00079,40,M,Married,Self-Employed,4925000,5,Owned,16,Ahmedabad,Gujarat,380001
C00080,20,F,Single,Salaried,785000,1,Rented,3,Jaipur,Rajasthan,302001
C00081,37,F,Married,Self-Employed,3034000,3,Rented,8,Bangalore,Karnataka,560001
C00082,43,M,Married,Salaried,1924000,5,Owned,23,Hyderabad,Telangana,500001
C00083,54,M,Single,Self-Employed,3993000,2,Owned,2,Ahmedabad,Gujarat,380001
C00084,34,M,Single,Salaried,1136000,0,Mortgage,3,Mumbai,Maharashtra,400001
C00085,31,M,Single,Salaried,1599000,2,Mortgage,20,Hyderabad,Telangana,500001
C00086,34,M,Married,Salaried,474000,3,Rented,14,Mumbai,Maharashtra,400001
C00087,49,M,Single,Self-Employed,4770000,0,,22,Bangalore,Karnataka,560001
C00088,43,M,Single,Self-Employed,10429000,0,Owned,24,Jaipur,Rajasthan,302001
C00089,34,F,Single,Salaried,150000,1,Owned,20,Kolkata,West Bengal,700001
C00090,45,F,Married,Salaried,1289000,3,Owned,24,Ahmedabad,Gujarat,380001
C00091,40,F,Married,Self-Employed,672000,3,Mortgage,23,Delhi,Delhi,110001
C00092,49,F,Married,Self-Employed,3381000,3,Owned,30,Mumbai,Maharashtra,400001
C00093,32,M,Married,Self-Employed,3236000,3,Rented,25,Ahmedabad,Gujarat,380001
C00094,36,F,Married,Self-Employed,536000,2,Owned,29,Mumbai,Maharashtra,400001
C00095,36,M,Single,Self-Employed,2468000,0,Owned,20,Ahmedabad,Gujarat,380001
C00096,25,F,Married,Self-Employed,390000,3,Owned,15,Mumbai,Maharashtra,400001
C00097,42,F,Single,Self-Employed,1691000,0,Owned,16,Bangalore,Karnataka,560001
C00098,42,M,Married,Self-Employed,2195000,3,Owned,10,Kolkata,West Bengal,700001
C00099,40,F,Single,Self-Employed,340000,2,Owned,9,Pune,Maharashtra,411001
C00100,37,M,Married,Self-Employed,9289000,2,Mortgage,5,Chennai,Tamil Nadu,600001
C00101,25,M,Single,Self-Employed,2808000,0,Owned,10,Kolkata,West Bengal,700001
C00102,35,F,Married,Salaried,1973000,2,Rented,23,Jaipur,Rajasthan,302001
C00103,36,M,Single,Self-Employed,11661000,0,Owned,7,Kolkata,West Bengal,700001
C00104,31,F,Single,Salaried,2339000,2,Mortgage,25,Chennai,Tamil Nadu,600001
C00105,38,M,Married,Self-Employed,10075000,3,Owned,19,Chennai,Tamil Nadu,600001
C00106,44,M,Single,Self-Employed,11448000,2,Mortgage,11,Bangalore,Karnataka,560001
C00107,58,F,Married,Self-Employed,1073000,2,Owned,27,Jaipur,Rajasthan,302001
C00108,41,F,Single,Self-Employed,982000,0,Rented,11,Jaipur,Rajasthan,302001
C00109,42,M,Married,Self-Employed,2368000,2,Owned,16,Kolkata,West Bengal,700001
C00110,39,M,Married,Salaried,732000,3,Mortgage,19,Hyderabad,Telangana,500001
C00111,20,M,Single,Salaried,1167000,0,Rented,24,Chennai,Tamil Nadu,600001
C00112,39,F,Single,Salaried,10680000,1,Rented,10,Mumbai,Maharashtra,400001
C00113,40,M,Married,Self-Employed,1192000,3,Mortgage,23,Mumbai,Maharashtra,400001
C00114,64,F,Married,Self-Employed,3070000,4,Mortgage,13,Mumbai,Maharashtra,400001
C00115,38,F,Married,Salaried,785000,4,Owned,29,Kolkata,West Bengal,700001
C00116,43,M,Married,Salaried,695000,4,Mortgage,10,Mumbai,Maharashtra,400001
C00117,39,M,Single,Self-Employed,3410000,1,Mortgage,31,Pune,Maharashtra,411001
C00118,28,M,Single,Salaried,743000,0,Owned,28,Pune,Maharashtra,411001
C00119,51,M,Married,Self-Employed,2988000,5,Rented,1,Ahmedabad,Gujarat,380001
C00120,47,F,Married,Salaried,842000,3,Rented,8,Mumbai,Maharashtra,400001
C00121,47,M,Married,Self-Employed,1199000,3,Owned,29,Delhi,Delhi,110001
C00122,30,M,Married,Self-Employed,793000,3,Owned,4,Bangalore,Karnataka,560001
C00123,54,F,Married,Salaried,3722000,2,Mortgage,1,Kolkata,West Bengal,700001
C00124,25,M,Single,Self-Employed,11952000,1,Rented,23,Delhi,Delhi,110001
C00125,45,M,Single,Self-Employed,540000,1,Owned,13,Delhi,Delhi,110001
C00126,61,M,Married,Self-Employed,687000,2,Mortgage,9,Hyderabad,Telangana,500001
C00127,30,F,Single,Salaried,4063000,0,Owned,8,Ahmedabad,Gujarat,380001
C00128,34,F,Single,Salaried,702000,1,Owned,17,Ahmedabad,Gujarat,380001
C00129,40,F,Married,Self-Employed,1463000,3,Owned,25,Jaipur,Rajasthan,302001
C00130,34,M,Single,Salaried,7212000,0,Mortgage,16,Delhi,Delhi,110001
C00131,24,M,Single,Self-Employed,6081000,0,Rented,18,Jaipur,Rajasthan,302001
C00132,40,M,Single,Salaried,1608000,2,Mortgage,29,Chennai,Tamil Nadu,600001
C00133,29,F,Married,Salaried,629000,5,Rented,29,Chennai,Tamil Nadu,600001
C00134,44,M,Married,Self-Employed,1045000,3,Rented,7,Bangalore,Karnataka,560001
C00135,30,M,Single,Self-Employed,1531000,0,Owned,10,Hyderabad,Telangana,500001
C00136,55,M,Married,Self-Employed,2813000,3,Owned,16,Chennai,Tamil Nadu,600001
C00137,32,F,Single,Self-Employed,3549000,1,Owned,29,Hyderabad,Telangana,500001
C00138,36,F,Single,Self-Employed,780000,0,Mortgage,28,Hyderabad,Telangana,500001
C00139,48,M,Married,Self-Employed,10195000,3,Mortgage,4,Delhi,Delhi,110001
C00140,27,F,Single,Salaried,335000,0,Rented,11,Hyderabad,Telangana,500001
C00141,42,F,Married,Self-Employed,901000,3,Mortgage,16,Pune,Maharashtra,411001
C00142,53,F,Single,Self-Employed,6297000,0,Owned,19,Bangalore,Karnataka,560001
C00143,23,F,Single,Self-Employed,986000,0,Owned,6,Bangalore,Karnataka,560001
C00144,41,M,Married,Self-Employed,9742000,3,Mortgage,14,Kolkata,West Bengal,700001
C00145,42,F,Single,Self-Employed,10512000,0,Mortgage,31,Pune,Maharashtra,411001
C00146,47,M,Single,Self-Employed,5204000,0,Mortgage,22,Hyderabad,Telangana,500001
C00147,27,M,Married,Self-Employed,11481000,2,Owned,9,Kolkata,West Bengal,700001
C00148,26,F,Single,Self-Employed,322000,0,Owned,20,Lucknow,Uttar Pradesh,226001
C00149,45,M,Single,Salaried,7031000,1,Mortgage,27,Pune,Maharashtra,411001
C00150,42,F,Married,Salaried,233000,3,Owned,21,Delhi,Delhi,110001
C00151,42,M,Single,Salaried,1210000,2,Owned,20,Chennai,Tamil Nadu,600001
C00152,43,M,Single,Self-Employed,576000,1,Mortgage,30,Kolkata,West Bengal,700001
C00153,33,F,Single,Salaried,617000,2,Rented,21,Delhi,Delhi,110001
C00154,42,M,Married,Salaried,7863000,4,Mortgage,1,Delhi,Delhi,110001
C00155,42,M,Single,Self-Employed,5157000,0,Owned,7,Mumbai,Maharashtra,400001
C00156,32,M,Married,Self-Employed,3925000,3,Owned,9,Bangalore,Karnataka,560001
C00157,58,F,Married,Self-Employed,2384000,4,Owned,27,Pune,Maharashtra,411001
C00158,44,M,Married,Salaried,139000,2,Owned,25,Hyderabad,Telangana,500001
C00159,28,M,Married,Salaried,918000,4,Owned,14,Mumbai,Maharashtra,400001
C00160,46,M,Single,Salaried,1913000,1,Mortgage,13,Hyderabad,Telangana,500001
C00161,30,F,Married,Self-Employed,1418000,2,Mortgage,7,Pune,Maharashtra,411001
C00162,47,M,Married,Self-Employed,532000,3,Owned,12,Kolkata,West Bengal,700001
C00163,51,M,Married,Salaried,2247000,2,Owned,27,Delhi,Delhi,110001
C00164,31,F,Married,Self-Employed,910000,5,Owned,1,Pune,Maharashtra,411001
C00165,49,F,Single,Salaried,1682000,0,Mortgage,22,Hyderabad,Telangana,500001
C00166,44,M,Single,Self-Employed,2673000,0,Mortgage,27,Kolkata,West Bengal,700001
C00167,48,F,Married,Self-Employed,2790000,2,Owned,21,Delhi,Delhi,110001
C00168,58,M,Married,Self-Employed,2324000,5,Owned,13,Pune,Maharashtra,411001
C00169,37,M,Single,Self-Employed,1254000,1,Owned,20,Delhi,Delhi,110001
C00170,32,M,Married,Salaried,2313000,2,Rented,8,Pune,Maharashtra,411001
C00171,31,M,Single,Salaried,1577000,1,Owned,30,Bangalore,Karnataka,560001
C00172,31,M,Single,Salaried,2287000,1,Mortgage,11,Delhi,Delhi,110001
C00173,39,M,Married,Salaried,2788000,2,Mortgage,23,Chennai,Tamil Nadu,600001
C00174,43,M,Married,Self-Employed,3889000,4,Owned,16,Mumbai,Maharashtra,400001
C00175,42,F,Married,Salaried,1384000,5,Owned,3,Chennai,Tamil Nadu,600001
C00176,48,F,Married,Salaried,2124000,2,Rented,1,Mumbai,Maharashtra,400001
C00177,40,M,Married,Self-Employed,7650000,3,Owned,28,Lucknow,Uttar Pradesh,226001
C00178,54,M,Married,Self-Employed,1522000,3,Owned,20,Ahmedabad,Gujarat,380001
C00179,37,M,Married,Salaried,9280000,3,Owned,20,Delhi,Delhi,110001
C00180,67,F,Single,Self-Employed,3552000,0,Mortgage,7,Ahmedabad,Gujarat,380001
C00181,46,F,Married,Self-Employed,250000,4,Mortgage,29,Ahmedabad,Gujarat,380001
C00182,31,F,Married,Self-Employed,2416000,3,Owned,24,Delhi,Delhi,110001
C00183,29,M,Married,Self-Employed,3372000,3,Owned,20,Bangalore,Karnataka,560001
C00184,44,M,Single,Salaried,1485000,1,Mortgage,18,Hyderabad,Telangana,500001
C00185,37,M,Single,Salaried,627000,0,Owned,7,Mumbai,Maharashtra,400001
C00186,47,M,Single,Self-Employed,10175000,1,Owned,16,Kolkata,West Bengal,700001
C00187,44,F,Married,Self-Employed,859000,4,Owned,2,Chennai,Tamil Nadu,600001
C00188,39,F,Married,Salaried,11953000,4,Owned,22,Jaipur,Rajasthan,302001
C00189,31,F,Single,Self-Employed,3667000,1,Mortgage,20,Hyderabad,Telangana,500001
C00190,24,F,Single,Self-Employed,3877000,0,Owned,4,Jaipur,Rajasthan,302001
C00191,35,M,Single,Salaried,5737000,1,Owned,11,Delhi,Delhi,110001
C00192,48,F,Married,Self-Employed,2803000,2,Owned,2,Hyderabad,Telangana,500001
C00193,42,F,Single,Self-Employed,4485000,1,Owned,10,Delhi,Delhi,110001
C00194,27,M,Married,Self-Employed,1301000,4,Owned,6,Chennai,Tamil Nadu,600001
C00195,41,F,Married,Self-Employed,133000,4,Owned,4,Bangalore,Karnataka,560001
C00196,43,M,Married,Salaried,1040000,3,Owned,5,Bangalore,Karnataka,560001
C00197,31,M,Single,Self-Employed,2725000,0,Owned,6,Chennai,Tamil Nadu,600001
C00198,41,M,Married,Self-Employed,982000,4,Mortgage,8,Bangalore,Karnataka,560001
C00199,40,M,Married,Salaried,2385000,3,Rented,19,Lucknow,Uttar Pradesh,226001
C00200,28,M,Single,Self-Employed,1071000,0,Owned,19,Delhi,Delhi,110001
C00201,43,M,Married,Salaried,1226000,4,Owned,23,Bangalore,Karnataka,560001
C00202,45,F,Married,Salaried,786000,2,Rented,7,Hyderabad,Telangana,500001
C00203,50,M,Single,Self-Employed,3174000,1,Mortgage,16,Ahmedabad,Gujarat,380001
C00204,50,M,Married,Self-Employed,3896000,3,Owned,10,Kolkata,West Bengal,700001
C00205,26,M,Married,Self-Employed,5615000,3,Owned,21,Pune,Maharashtra,411001
C00206,30,F,Single,Salaried,215000,0,Mortgage,5,Pune,Maharashtra,411001
C00207,45,M,Married,Salaried,231000,3,Mortgage,21,Hyderabad,Telangana,500001
C00208,45,M,Married,Salaried,430000,3,Owned,1,Kolkata,West Bengal,700001
C00209,45,F,Married,Salaried,328000,3,Mortgage,20,Hyderabad,Telangana,500001
C00210,70,M,Single,Self-Employed,8497000,0,Owned,23,Chennai,Tamil Nadu,600001
C00211,45,F,Married,Self-Employed,501000,2,Mortgage,5,Jaipur,Rajasthan,302001
C00212,51,M,Married,Self-Employed,364000,2,Owned,27,Chennai,Tamil Nadu,600001
C00213,49,M,Married,Self-Employed,901000,4,Mortgage,14,Chennai,Tamil Nadu,600001
C00214,46,F,Married,Self-Employed,379000,2,Owned,13,Delhi,Delhi,110001
C00215,36,F,Married,Self-Employed,10539000,3,Mortgage,12,Ahmedabad,Gujarat,380001
C00216,47,F,Married,Salaried,712000,3,Rented,18,Kolkata,West Bengal,700001
C00217,32,M,Married,Salaried,1684000,4,Owned,25,Bangalore,Karnataka,560001
C00218,37,M,Married,Salaried,5561000,3,Mortgage,22,Lucknow,Uttar Pradesh,226001
C00219,35,M,Single,Self-Employed,2547000,0,Owned,18,Pune,Maharashtra,411001
C00220,40,F,Single,Self-Employed,3643000,0,Mortgage,25,Ahmedabad,Gujarat,380001
C00221,63,M,Married,Self-Employed,2139000,4,Owned,3,Kolkata,West Bengal,700001
C00222,21,F,Single,Self-Employed,410000,0,Owned,24,Bangalore,Karnataka,560001
C00223,46,M,Single,Self-Employed,4275000,1,Mortgage,19,Kolkata,West Bengal,700001
C00224,23,M,Single,Salaried,762000,0,Owned,19,Ahmedabad,Gujarat,380001
C00225,35,M,Single,Self-Employed,1909000,1,Owned,23,Mumbai,Maharashtra,400001
C00226,50,F,Married,Salaried,577000,2,Owned,31,Mumbai,Maharashtra,400001
C00227,40,M,Married,Self-Employed,2997000,3,Rented,17,Delhi,Delhi,110001
C00228,29,M,Married,Self-Employed,1670000,5,Owned,6,Bangalore,Karnataka,560001
C00229,32,F,Single,Self-Employed,344000,1,Rented,25,Mumbai,Maharashtra,400001
C00230,46,M,Married,Self-Employed,418000,4,Owned,10,Lucknow,Uttar Pradesh,226001
C00231,32,M,Married,Salaried,8994000,4,Owned,6,Jaipur,Rajasthan,302001
C00232,42,M,Married,Salaried,8603000,4,Owned,21,Hyderabad,Telangana,500001
C00233,40,F,Married,Salaried,4887000,3,Owned,15,Bangalore,Karnataka,560001
C00234,33,F,Single,Salaried,698000,0,Mortgage,4,Pune,Maharashtra,411001
C00235,61,M,Married,Self-Employed,1751000,2,Mortgage,9,Chennai,Tamil Nadu,600001
C00236,46,M,Married,Self-Employed,2907000,2,Rented,17,Pune,Maharashtra,411001
C00237,19,F,Single,Self-Employed,917000,0,Owned,2,Ahmedabad,Gujarat,380001
C00238,41,F,Single,Self-Employed,3177000,0,Rented,13,Bangalore,Karnataka,560001
C00239,33,M,Single,Salaried,583000,0,Owned,12,Ahmedabad,Gujarat,380001
C00240,48,M,Single,Self-Employed,3932000,0,Owned,5,Lucknow,Uttar Pradesh,226001
C00241,32,F,Married,Salaried,5990000,3,Owned,12,Mumbai,Maharashtra,400001
C00242,38,F,Married,Self-Employed,1998000,2,Mortgage,13,Delhi,Delhi,110001
C00243,45,F,Single,Self-Employed,1432000,0,Owned,12,Bangalore,Karnataka,560001
C00244,48,M,Married,Self-Employed,254000,3,Owned,5,Mumbai,Maharashtra,400001
C00245,27,F,Married,Salaried,337000,3,Owned,11,Bangalore,Karnataka,560001
C00246,36,M,Married,Salaried,110000,3,Owned,8,Chennai,Tamil Nadu,600001
C00247,35,M,Single,Self-Employed,2095000,0,Owned,7,Bangalore,Karnataka,560001
C00248,33,M,Married,Salaried,2203000,4,Rented,29,Kolkata,West Bengal,700001
C00249,57,F,Married,Self-Employed,3307000,3,Mortgage,23,Ahmedabad,Gujarat,380001
C00250,44,M,Married,Salaried,1816000,4,Owned,5,Bangalore,Karnataka,560001
C00251,27,F,Single,Self-Employed,563000,2,Rented,31,Bangalore,Karnataka,560001
C00252,49,F,Married,Self-Employed,4036000,5,Owned,19,Jaipur,Rajasthan,302001
C00253,61,M,Single,Self-Employed,1061000,0,Owned,17,Ahmedabad,Gujarat,380001
C00254,50,M,Single,Salaried,2381000,0,Mortgage,9,Ahmedabad,Gujarat,380001
C00255,24,M,Married,Salaried,2251000,3,Rented,18,Pune,Maharashtra,411001
C00256,35,F,Married,Self-Employed,791000,3,Owned,11,Pune,Maharashtra,411001
C00257,52,M,Married,Self-Employed,9777000,4,Mortgage,11,Kolkata,West Bengal,700001
C00258,32,M,Single,Self-Employed,3095000,0,Owned,18,Pune,Maharashtra,411001
C00259,44,M,Married,Self-Employed,3612000,4,Owned,23,Pune,Maharashtra,411001
C00260,47,M,Married,Self-Employed,3800000,3,Rented,2,Kolkata,West Bengal,700001
C00261,30,M,Single,Salaried,10277000,1,Owned,24,Hyderabad,Telangana,500001
C00262,39,M,Married,Self-Employed,834000,3,Mortgage,12,Mumbai,Maharashtra,400001
C00263,18,F,Single,Self-Employed,883000,0,Owned,23,Jaipur,Rajasthan,302001
C00264,29,F,Single,Salaried,875000,0,Owned,30,Bangalore,Karnataka,560001
C00265,37,M,Single,Salaried,1336000,1,Mortgage,30,Pune,Maharashtra,411001
C00266,27,M,Single,Salaried,2623000,1,Owned,19,Chennai,Tamil Nadu,600001
C00267,56,M,Single,Self-Employed,3792000,1,Owned,19,Chennai,Tamil Nadu,600001
C00268,25,F,Single,Self-Employed,2991000,0,Owned,8,Ahmedabad,Gujarat,380001
C00269,35,M,Single,Salaried,743000,0,Rented,27,Kolkata,West Bengal,700001
C00270,41,M,Single,Self-Employed,3104000,2,Owned,31,Chennai,Tamil Nadu,600001
C00271,54,M,Married,Self-Employed,8031000,2,Owned,4,Chennai,Tamil Nadu,600001
C00272,25,F,Single,Self-Employed,1099000,2,Owned,31,Hyderabad,Telangana,500001
C00273,51,M,Married,Self-Employed,2336000,4,Mortgage,3,Chennai,Tamil Nadu,600001
C00274,40,F,Married,Self-Employed,3883000,3,Rented,25,Chennai,Tamil Nadu,600001
C00275,30,M,Single,Salaried,3617000,0,Owned,10,Mumbai,Maharashtra,400001
C00276,44,F,Married,Salaried,2520000,2,Owned,12,Hyderabad,Telangana,500001
C00277,41,F,Single,Salaried,247000,0,Mortgage,3,Delhi,Delhi,110001
C00278,33,F,Single,Salaried,908000,1,Rented,3,Jaipur,Rajasthan,302001
C00279,40,M,Single,Salaried,112000,1,Mortgage,27,Pune,Maharashtra,411001
C00280,36,M,Married,Self-Employed,2170000,2,Owned,5,Lucknow,Uttar Pradesh,226001
C00281,41,F,Single,Self-Employed,2751000,1,Rented,30,Jaipur,Rajasthan,302001
C00282,46,F,Married,Self-Employed,1616000,4,Owned,4,Chennai,Tamil Nadu,600001
C00283,55,M,Single,Self-Employed,3092000,0,Owned,8,Hyderabad,Telangana,500001
C00284,27,M,Single,Salaried,6947000,0,Rented,19,Bangalore,Karnataka,560001
C00285,61,M,Single,Self-Employed,3598000,1,Owned,7,Lucknow,Uttar Pradesh,226001
C00286,20,M,Single,Self-Employed,2922000,1,Owned,31,Delhi,Delhi,110001
C00287,38,M,Married,Salaried,323000,5,Mortgage,17,Lucknow,Uttar Pradesh,226001
C00288,45,M,Single,Salaried,619000,1,Mortgage,10,Lucknow,Uttar Pradesh,226001
C00289,42,M,Married,Self-Employed,8256000,2,Owned,31,Delhi,Delhi,110001
C00290,33,M,Single,Salaried,2122000,1,Mortgage,1,Delhi,Delhi,110001
C00291,37,F,Married,Salaried,1494000,3,Rented,24,Kolkata,West Bengal,700001
C00292,35,M,Single,Salaried,3988000,0,Owned,4,Jaipur,Rajasthan,302001
C00293,34,M,Married,Self-Employed,3802000,2,Owned,29,Bangalore,Karnataka,560001
C00294,48,F,Single,Self-Employed,3802000,0,Mortgage,9,Chennai,Tamil Nadu,600001
C00295,43,F,Single,Salaried,615000,2,Mortgage,5,Kolkata,West Bengal,700001
C00296,33,M,Single,Self-Employed,951000,0,Mortgage,14,Delhi,Delhi,110001
C00297,48,M,Married,Self-Employed,785000,2,Mortgage,22,Jaipur,Rajasthan,302001
C00298,43,M,Single,Salaried,778000,1,Owned,17,Kolkata,West Bengal,700001
C00299,48,F,Married,Self-Employed,1888000,2,Rented,27,Hyderabad,Telangana,500001
C00300,46,F,Single,Self-Employed,191000,0,Mortgage,19,Pune,Maharashtra,411001
C00301,31,M,Married,Salaried,611000,4,Owned,26,Kolkata,West Bengal,700001
C00302,34,M,Single,Salaried,1465000,1,Mortgage,6,Jaipur,Rajasthan,302001
C00303,47,M,Married,Self-Employed,10549000,3,Owned,13,Bangalore,Karnataka,560001
C00304,46,M,Single,Self-Employed,2958000,0,Mortgage,4,Hyderabad,Telangana,500001
C00305,39,M,Married,Self-Employed,11692000,3,Rented,17,Chennai,Tamil Nadu,600001
C00306,41,F,Single,Self-Employed,3726000,0,Owned,2,Pune,Maharashtra,411001
C00307,52,F,Married,Self-Employed,635000,3,Owned,7,Delhi,Delhi,110001
C00308,34,M,Single,Self-Employed,3858000,1,Mortgage,4,Bangalore,Karnataka,560001
C00309,45,M,Married,Salaried,271000,3,Mortgage,7,Ahmedabad,Gujarat,380001
