cust_id,number_of_open_accounts,number_of_closed_accounts,total_loan_months,delinquent_months,total_dpd,enquiry_count,credit_utilization_ratio
C00199,4,2,97,0,0,4,4
C00200,4,1,144,0,0,4,72
C00201,4,0,182,0,0,4,12
C00202,4,2,137,6,38,8,76
C00203,3,2,60,2,8,5,9
C00204,1,2,35,0,0,4,6
C00205,1,0,56,0,0,3,15
C00206,4,1,144,12,56,6,68
C00207,1,0,54,5,43,4,12
C00208,4,2,150,14,78,7,45
C00209,1,1,9,0,0,2,0
C00210,2,2,53,0,0,2,10
C00211,1,1,24,4,18,3,83
C00212,4,1,128,0,0,4,47
C00213,2,2,77,0,0,3,21
C00214,2,0,30,7,30,2,81
C00215,2,2,54,23,122,5,52
C00216,4,2,142,10,44,4,42
C00217,4,2,152,9,46,5,56
C00218,2,0,49,0,0,4,7
C00219,4,2,70,4,19,9,62
C00220,1,0,6,1,1,4,58
C00221,3,0,78,0,0,3,72
C00222,1,0,24,17,86,1,36
C00223,3,2,44,0,0,7,29
C00224,1,1,54,7,33,2,13
C00225,1,0,37,5,25,2,25
C00226,3,0,83,1,7,8,29
C00227,1,2,1,1,7,5,13
C00228,2,1,38,1,7,2,33
C00229,4,2,167,14,68,8,87
C00230,4,1,75,21,103,6,0
C00231,3,1,92,8,33,3,0
C00232,1,0,33,11,54,4,7
C00233,4,1,178,0,0,8,23
C00234,3,0,90,0,0,6,23
C00235,2,2,84,1,8,3,82
C00236,3,0,116,3,11,5,68
C00237,4,1,170,11,80,5,51
C00238,1,2,16,0,0,5,76
C00239,2,0,59,10,74,3,92
C00240,2,1,25,0,0,3,5
C00241,1,1,50,0,0,1,44
C00242,2,1,45,4,26,4,71
C00243,2,1,63,9,44,6,10
C00244,3,0,83,0,0,8,15
C00245,3,1,104,0,0,8,20
C00246,1,0,56,9,50,1,39
C00247,4,2,62,0,0,6,10
C00248,3,2,58,4,24,5,97
C00249,4,1,93,0,0,4,44
C00250,3,0,60,23,118,4,75
C00251,1,2,34,0,0,2,62
C00252,2,1,48,12,65,3,46
C00253,1,2,9,7,45,6,91
C00254,4,0,154,7,30,6,75
C00255,2,2,76,1,2,2,42
C00256,1,2,45,4,21,4,19
C00257,1,0,1,1,2,5,13
C00258,2,0,55,7,29,3,96
C00259,3,2,137,0,0,3,29
C00260,4,2,151,6,30,4,52
C00261,2,0,72,0,0,2,28
C00262,3,2,99,10,48,8,10
C00263,3,2,106,0,0,7,35
C00264,3,2,71,4,17,6,34
C00265,2,1,45,10,38,2,0
C00266,1,2,5,2,12,2,81
C00267,1,0,57,0,0,4,12
C00268,3,2,107,0,0,7,45
C00269,3,1,130,24,116,3,53
C00270,1,2,9,0,0,4,41
C00271,2,0,37,4,19,2,13
C00272,1,2,60,3,15,6,86
C00273,2,2,85,0,0,7,1
C00274,2,0,55,1,9,7,53
C00275,1,1,44,6,33,4,8
C00276,1,2,24,8,45,4,46
C00277,2,1,102,1,4,4,97
C00278,3,0,83,0,0,4,46
C00279,1,1,35,0,0,3,98
C00280,3,2,139,0,0,3,55
C00281,4,0,105,15,77,4,50
C00282,1,0,37,4,28,5,21
C00283,2,0,62,0,0,3,46
C00284,2,0,77,0,0,6,16
C00285,3,1,111,8,44,6,25
C00286,3,1,96,5,33,6,75
C00287,2,2,30,11,69,3,94
C00288,2,2,60,1,2,3,45
C00289,4,1,170,0,0,7,17
C00290,2,1,63,0,0,3,75
C00291,2,2,43,0,0,4,57
C00292,2,2,19,8,41,3,32
C00293,4,1,120,6,33,9,55
C00294,3,1,133,0,0,8,30
C00295,1,2,49,8,38,1,31
C00296,1,2,17,7,26,6,37
C00297,1,0,35,0,0,4,37
C00298,4,1,149,7,39,5,19
C00299,3,2,83,4,28,6,27
C00300,4,2,133,12,65,5,90
C00301,4,0,147,0,0,7,1
C00302,1,0,37,3,13,6,64
C00303,1,1,37,12,68,4,77
C00304,2,1,77,10,49,5,24
C00305,2,1,87,4,25,4,3
C00306,3,1,79,7,31,6,14
C00307,1,0,54,17,97,6,94
C00308,1,0,48,0,0,1,62
C00309,1,0,1,1,10,5,54
C00310,3,2,132,10,59,7,8
C00311,4,2,64,6,25,9,94
C00312,2,2,84,17,91,3,12
C00313,3,2,101,7,40,6,9
C00314,4,1,188,0,0,8,53
C00315,2,2,11,0,0,2,92
C00316,2,1,58,3,12,5,74
C00317,1,0,48,4,13,4,97
C00318,4,0,173,0,0,8,80
C00319,1,2,5,2,11,6,41
C00320,1,1,59,0,0,6,35
C00321,1,1,58,5,26,6,39
C00322,4,1,151,11,58,6,4
C00323,1,2,35,0,0,3,0
C00324,2,1,67,6,29,6,36
C00325,1,2,51,6,45,5,0
C00326,4,0,173,0,0,9,25
C00327,2,1,59,7,38,5,2
C00328,4,0,155,4,22,8,49
C00329,3,0,107,5,28,8,66
C00330,2,0,116,0,0,5,36
C00331,3,1,68,7,42,3,5
C00332,1,2,19,11,59,6,84
C00333,1,1,21,2,8,4,77
C00334,1,1,24,0,0,6,44
C00335,1,2,8,5,30,1,42
C00336,2,1,49,4,27,7,88
C00337,1,2,34,0,0,2,84
C00338,3,0,14,0,0,5,41
C00339,3,1,89,0,0,8,53
C00340,2,1,42,4,16,2,37
C00341,1,2,27,7,48,4,81
C00342,2,2,73,3,22,3,83
C00343,4,0,162,0,0,5,71
C00344,1,2,28,9,51,1,28
C00345,3,2,88,1,4,5,94
C00346,2,0,25,0,0,2,16
C00347,1,0,56,0,0,2,34
C00348,2,1,74,0,0,3,20
C00349,3,0,129,0,0,3,6
C00350,1,1,50,3,15,5,6
C00351,1,2,10,8,50,6,49
C00352,1,2,16,2,4,3,34
C00353,2,1,96,0,0,7,0
C00354,3,0,84,0,0,6,28
C00355,1,2,50,0,0,3,36
C00356,3,1,139,0,0,6,92
C00357,4,1,77,24,130,4,57
C00358,3,1,117,12,76,7,18
C00359,1,2,15,1,3,4,9
C00360,1,0,1,1,5,5,5
C00361,1,0,8,0,0,1,12
C00362,2,0,50,9,46,3,16
C00363,3,1,100,21,130,3,3
C00364,3,1,105,0,0,6,23
C00365,1,1,33,0,0,3,60
C00366,1,0,50,0,0,6,88
C00367,3,0,92,16,90,6,43
C00368,2,1,96,3,10,7,22
C00369,2,0,61,1,9,2,38
C00370,3,1,104,0,0,6,80
C00371,2,2,47,1,4,6,53
C00372,2,1,85,1,5,4,55
C00373,3,0,152,6,35,3,50
C00374,3,0,66,9,58,6,8
C00375,2,2,71,12,73,6,98
C00376,2,0,48,3,18,2,96
C00377,2,2,43,0,0,4,65
C00378,4,2,82,5,31,9,10
C00379,2,0,75,0,0,4,72
C00380,2,0,53,15,94,6,11
C00381,1,0,25,0,0,4,99
C00382,1,2,48,1,8,5,61
C00383,3,0,57,9,51,4,51
C00384,3,0,113,9,46,5,20
C00385,3,0,97,1,8,6,98
C00386,3,0,115,10,60,7,30
C00387,1,0,44,0,0,5,97
C00388,3,2,96,0,0,8,63
C00389,1,2,48,0,0,4,22
C00390,2,2,49,3,10,3,30
C00391,4,0,173,4,31,4,45
C00392,4,2,61,3,12,6,55
C00393,2,0,60,3,18,5,22
C00394,3,0,134,6,29,5,54
C00395,3,2,108,2,6,8,63
C00396,4,1,130,3,22,7,23
C00397,1,0,58,17,87,3,16
C00398,3,0,78,13,68,3,7
C00399,1,2,23,0,0,6,13
C00400,3,1,94,9,38,5,90
C00401,4,0,126,20,100,4,13
C00402,4,0,92,17,88,9,82
C00403,4,1,183,1,2,6,45
C00404,2,0,25,0,0,2,65
C00405,3,1,89,1,5,7,37
C00406,3,2,95,0,0,7,9
C00407,1,0,24,2,9,2,80
C00408,4,1,135,0,0,4,71
C00409,4,0,155,12,71,6,70
C00410,2,2,90,13,58,3,73
C00411,2,0,105,21,81,5,73
C00412,4,2,107,18,105,5,56
C00413,4,1,110,2,15,4,53
C00414,3,2,59,0,0,6,65
C00415,1,0,24,8,41,4,51
C00416,3,2,49,11,53,5,44
C00417,2,1,106,15,83,3,81
C00418,3,1,149,23,140,8,94
C00419,1,1,58,14,87,5,25
C00420,2,1,28,9,31,5,17
C00421,4,2,204,0,0,7,91
C00422,2,2,100,8,44,3,99
C00423,2,1,105,0,0,6,39
C00424,1,1,7,3,10,4,12
C00425,4,1,103,0,0,9,13
C00426,2,1,68,0,0,6,94
C00427,1,2,6,2,13,5,12
C00428,2,2,74,0,0,4,48
C00429,3,0,58,0,0,3,14
C00430,4,1,126,3,16,4,27
C00431,2,2,68,0,0,6,54
C00432,4,0,93,0,0,9,46
C00433,4,0,184,22,122,5,10
C00434,3,0,81,1,3,5,76
C00435,4,1,130,3,26,5,91
C00436,4,1,79,7,41,5,49
C00437,1,2,17,11,59,5,41
C00438,3,2,101,8,47,6,94
C00439,3,0,68,0,0,7,49
C00440,2,0,35,8,37,5,98
C00441,4,1,150,4,18,7,1
C00442,1,2,9,1,6,3,27
C00443,3,0,126,8,48,6,97
C00444,1,0,51,0,0,5,71
C00445,1,0,21,9,57,2,19
C00446,3,1,59,15,92,6,63
C00447,4,1,159,9,55,7,64
C00448,4,1,175,0,0,7,73
C00449,2,1,110,4,18,4,91
C00450,2,2,79,19,95,6,19
C00451,2,0,76,14,74,3,76
C00452,2,1,104,0,0,6,23
C00453,4,1,74,0,0,6,89
C00454,3,0,68,0,0,8,69
C00455,4,1,87,17,86,6,15
C00456,4,0,96,0,0,4,98
C00457,3,1,48,0,0,6,74
C00458,4,1,70,4,24,5,2
C00459,3,1,91,9,54,3,53
C00460,2,0,107,9,47,3,21
C00461,4,0,112,3,20,7,62
C00462,4,1,116,0,0,9,28
C00463,3,1,61,11,68,7,29
C00464,1,1,9,0,0,6,47
C00465,1,0,13,9,55,1,12
C00466,2,2,57,19,85,5,70
C00467,1,2,55,1,10,3,56
C00468,4,2,130,23,117,9,83
C00469,2,2,78,11,63,5,20
C00470,1,0,33,3,15,6,90
C00471,4,2,48,0,0,5,84
C00472,2,1,92,0,0,3,0
C00473,3,1,127,1,6,5,22
C00474,1,2,23,8,40,2,90
C00475,4,2,144,4,15,4,9
C00476,4,1,110,0,0,8,37
C00477,1,0,3,1,1,5,33
C00478,1,0,60,17,86,2,22
C00479,3,1,77,0,0,4,89
C00480,3,0,87,0,0,7,72
C00481,1,0,49,7,29,2,20
C00482,2,1,78,10,60,4,26
C00483,4,2,146,4,25,9,65
C00484,4,0,111,15,89,8,53
C00485,3,0,125,0,0,4,60
C00486,2,1,50,8,39,7,15
C00487,1,1,50,19,98,6,63
C00488,3,0,100,0,0,3,6
C00489,4,1,115,11,60,6,61
C00490,2,1,52,0,0,5,49
C00491,3,0,113,10,61,3,14
C00492,3,2,105,0,0,6,74
C00493,4,0,138,0,0,5,24
C00494,2,0,38,2,9,5,37
C00495,3,1,97,0,0,4,27
C00496,3,2,82,11,51,5,73
C00497,1,2,30,8,48,3,63
C00498,3,2,154,0,0,6,64
C00499,1,1,30,0,0,5,88
C00500,3,1,63,8,46,4,35
C00501,4,0,89,0,0,8,45
C00502,2,0,104,0,0,3,97
C00503,4,2,110,12,50,7,78
C00504,1,0,8,0,0,2,15
C00505,1,1,1,1,3,3,59
C00506,4,1,132,9,56,6,64
C00507,2,0,97,12,59,6,63
C00508,4,2,166,6,38,6,31
C00509,1,0,16,11,61,2,52
C00510,1,1,41,0,0,5,40
C00511,4,2,156,10,70,5,62
C00512,2,2,66,5,31,4,33
C00513,2,0,39,9,42,7,25
C00514,1,0,21,0,0,6,62
C00515,2,1,25,6,40,6,91
C00516,4,1,146,0,0,8,25
C00517,3,1,113,0,0,5,95
C00518,4,0,118,6,34,7,14
C00519,2,0,42,3,16,6,69
C00520,3,2,81,0,0,4,25
C00521,3,1,88,4,13,8,98
C00522,1,1,60,0,0,2,2
C00523,1,1,35,0,0,5,95
C00524,1,1,13,6,48,3,29
C00525,1,0,50,0,0,1,55
C00526,1,2,13,0,0,6,27
C00527,1,2,46,0,0,1,16
C00528,1,2,8,2,17,2,99
C00529,2,2,74,4,31,2,28
C00530,2,0,74,0,0,5,24
C00531,3,0,81,12,75,6,9
C00532,3,1,63,2,6,6,4
C00533,3,0,76,4,25,3,0
C00534,2,2,29,1,10,6,73
C00535,1,1,38,5,33,1,25
C00536,3,0,82,12,66,8,73
C00537,3,1,110,4,32,5,40
C00538,4,0,79,0,0,5,77
C00539,2,0,56,0,0,2,51
C00540,1,2,41,0,0,6,58
C00541,2,0,49,10,58,5,82
C00542,1,2,54,10,61,1,46
C00543,1,2,28,0,0,2,24
C00544,1,1,60,9,37,4,53
C00545,2,1,62,11,57,5,10
C00546,4,0,120,9,58,7,90
C00547,1,2,39,0,0,4,7
C00548,2,2,94,3,29,5,38
C00549,4,1,152,11,50,5,9
C00550,2,1,43,0,0,3,74
C00551,1,1,44,17,96,6,47
C00552,4,0,76,3,12,8,3
C00553,3,1,124,12,93,4,11
C00554,3,0,119,1,5,7,78
C00555,3,2,69,12,57,8,83
C00556,4,2,100,0,0,8,23
C00557,3,2,59,0,0,8,39
C00558,4,2,168,0,0,6,37
C00559,1,0,54,8,42,2,23
C00560,1,1,35,0,0,5,49
C00561,2,0,35,10,62,5,19
C00562,2,1,84,0,0,7,40
C00563,1,2,5,0,0,3,48
C00564,4,1,90,14,75,6,59
C00565,1,1,58,7,28,1,24
C00566,3,1,67,12,50,8,90
C00567,3,1,86,0,0,6,39
C00568,1,1,36,0,0,6,69
C00569,1,2,28,0,0,5,32
C00570,3,0,98,1,6,3,30
C00571,2,2,24,2,14,2,45
C00572,1,0,59,19,95,2,0
C00573,2,2,79,6,32,2,36
C00574,4,1,48,12,63,9,64
C00575,2,2,43,0,0,4,56
C00576,1,1,3,1,1,1,90
C00577,3,2,85,12,66,5,24
C00578,4,0,110,11,74,7,52
C00579,1,0,59,3,15,3,16
C00580,1,2,30,8,36,5,41
C00581,2,2,57,0,0,2,94
C00582,3,1,111,4,26,6,60
C00583,2,1,54,8,44,6,19
C00584,1,1,50,9,45,5,54
C00585,4,0,151,0,0,9,1
C00586,4,1,134,11,66,5,22
C00587,3,2,108,3,21,8,49
C00588,3,0,98,1,8,8,9
C00589,2,0,70,12,72,2,99
C00590,1,0,51,0,0,6,9
C00591,2,0,32,0,0,2,44
C00592,2,0,38,10,53,7,55
C00593,1,1,34,1,1,3,98
C00594,2,1,51,12,63,7,72
C00595,4,0,166,0,0,4,18
C00596,3,0,109,22,108,7,60
C00597,4,0,51,0,0,9,24
C00598,4,2,97,0,0,4,87
C00599,3,0,107,18,86,8,32
C00600,2,0,44,0,0,6,20
C00601,4,2,120,0,0,6,9
C00602,3,2,84,2,18,8,97
C00603,4,0,146,0,0,7,92
C00604,3,2,85,0,0,7,23
C00605,4,0,148,6,31,7,52
C00606,1,2,29,0,0,2,65
C00607,1,2,45,11,67,3,27
C00608,4,2,86,11,64,8,19
C00609,1,1,4,2,15,3,14
C00610,2,1,69,0,0,4,41
C00611,1,1,16,15,84,2,97
C00612,4,2,67,5,27,4,9
C00613,3,0,62,22,145,4,85
C00614,3,0,88,6,41,4,72
C00615,2,0,52,0,0,5,57
C00616,2,2,81,0,0,6,30
C00617,1,0,32,0,0,4,20
C00618,1,0,19,2,10,6,70
C00619,1,2,13,0,0,3,91
C00620,3,0,102,0,0,6,40
C00621,1,0,22,3,11,4,4
C00622,1,1,48,20,94,6,39
C00623,4,1,125,9,54,6,14
C00624,3,1,102,0,0,5,6
C00625,1,1,59,0,0,2,73
C00626,2,2,77,17,80,7,8
C00627,3,0,91,9,53,6,42
C00628,2,2,80,4,21,4,93
C00629,4,2,166,12,62,4,13
C00630,2,1,51,0,0,5,66
C00631,1,0,9,0,0,4,93
C00632,4,0,115,11,72,4,17
C00633,1,0,1,0,0,6,10
C00634,4,2,157,14,71,5,9
C00635,2,0,36,0,0,5,4
C00636,2,1,108,0,0,4,11
C00637,1,0,40,11,52,4,2
C00638,1,0,10,0,0,1,0
C00639,4,2,194,0,0,7,7
C00640,1,2,22,0,0,6,28
C00641,4,1,53,4,25,8,21
C00642,2,1,104,0,0,3,13
C00643,2,2,89,0,0,4,64
C00644,2,2,78,0,0,5,29
C00645,1,1,13,10,44,2,89
C00646,2,2,65,4,21,2,28
C00647,3,1,71,0,0,6,39
C00648,3,0,75,0,0,8,22
C00649,4,0,138,6,36,5,84
C00650,4,1,82,12,54,7,28
C00651,2,2,59,0,0,2,26
C00652,2,1,81,0,0,5,40
C00653,4,2,86,1,3,7,20
C00654,1,1,33,10,53,3,28
C00655,3,1,82,3,12,3,14
C00656,3,1,91,0,0,4,27
C00657,2,0,68,0,0,4,14
C00658,2,2,81,9,53,3,47
C00659,4,2,104,0,0,4,86
C00660,3,0,85,0,0,3,19
C00661,3,2,117,8,45,6,50
C00662,1,1,53,0,0,4,26
C00663,4,2,153,0,0,8,68
C00664,2,0,60,15,55,7,10
C00665,1,2,54,3,7,2,23
C00666,4,0,128,0,0,5,72
C00667,3,2,44,0,0,7,99
C00668,2,2,74,0,0,5,45
C00669,4,0,75,0,0,5,46
C00670,3,0,83,8,33,5,42
C00671,1,0,26,0,0,2,36
C00672,1,2,33,0,0,6,16
C00673,3,1,148,0,0,4,78
C00674,2,1,50,0,0,5,91
C00675,3,0,128,7,24,8,5
C00676,2,0,47,13,63,6,97
C00677,2,1,67,11,67,4,22
C00678,2,0,88,2,6,4,99
C00679,4,0,173,2,17,7,55
C00680,1,2,10,0,0,4,0
C00681,3,2,104,15,76,6,6
C00682,2,2,32,2,7,4,54
C00683,1,0,26,4,26,1,28
C00684,3,2,123,5,26,5,7
C00685,1,2,55,11,64,6,48
C00686,2,1,17,0,0,5,1
C00687,3,1,71,3,24,3,34
C00688,4,2,92,0,0,8,1
C00689,3,2,111,6,32,4,67
C00690,4,2,116,0,0,6,12
C00691,3,0,86,0,0,8,11
C00692,3,0,60,12,36,5,88
C00693,1,0,9,3,23,3,94
C00694,4,0,124,1,8,8,72
C00695,1,1,37,0,0,1,32
C00696,1,1,56,21,130,5,10
C00697,4,2,162,5,26,5,56
C00698,1,2,58,3,15,4,48
C00699,2,1,43,0,0,7,53
C00700,4,0,66,0,0,9,44
C00701,1,1,43,0,0,4,67
C00702,2,2,31,0,0,5,3
C00703,4,0,137,0,0,6,95
C00704,1,0,5,4,21,2,12
C00705,1,0,27,2,9,1,9
C00706,3,1,38,0,0,8,8
C00707,2,1,28,0,0,6,55
C00708,2,2,19,10,71,7,93
C00709,2,2,88,0,0,3,38
C00710,1,0,59,5,33,1,95
C00711,1,1,38,0,0,2,0
C00712,4,0,98,0,0,9,28
C00713,1,0,41,0,0,6,27
C00714,2,2,62,23,147,2,95
C00715,4,0,99,0,0,6,13
C00716,3,1,69,11,62,8,76
C00717,3,2,66,0,0,6,24
C00718,3,1,98,10,47,6,50
C00719,3,2,39,2,12,7,31
C00720,4,2,112,0,0,7,20
C00721,1,0,26,4,14,6,50
C00722,2,2,103,0,0,4,17
C00723,4,1,171,0,0,9,20
C00724,3,1,99,9,37,5,3
C00725,2,1,25,0,0,3,23
C00726,2,2,45,11,63,6,19
C00727,2,0,65,3,16,4,1
C00728,3,0,72,24,123,8,97
C00729,1,2,25,12,68,6,79
C00730,1,1,8,0,0,3,43
C00731,4,1,82,2,8,4,76
C00732,2,2,51,0,0,2,39
C00733,1,2,21,0,0,2,88
C00734,3,0,127,11,56,3,6
C00735,4,1,144,15,80,8,56
C00736,3,2,82,0,0,5,27
C00737,1,0,37,12,76,1,19
C00738,4,2,134,6,35,9,8
C00739,2,1,42,0,0,3,98
C00740,1,2,4,3,23,6,42
C00741,2,1,65,0,0,5,7
C00742,3,2,78,11,66,8,6
C00743,3,2,101,0,0,4,31
C00744,2,1,80,2,6,3,62
C00745,4,2,117,2,10,9,37
C00746,1,0,60,4,21,4,3
C00747,2,1,50,8,34,6,53
C00748,1,1,37,0,0,2,26
C00749,4,0,114,0,0,4,77
C00750,3,0,60,11,63,7,58
C00751,3,1,79,0,0,3,52
C00752,3,1,105,15,95,5,18
C00753,2,1,47,20,118,7,20
C00754,4,1,90,0,0,8,42
C00755,1,1,52,15,85,2,93
C00756,4,2,147,0,0,8,16
C00757,4,1,117,2,6,6,20
C00758,2,1,55,0,0,7,70
C00759,3,1,78,0,0,4,31
C00760,2,1,41,10,58,5,11
C00761,3,1,72,0,0,3,30
C00762,2,1,75,0,0,5,19
C00763,3,1,75,6,24,6,78
C00764,3,2,108,0,0,7,48
C00765,2,2,69,7,36,2,30
C00766,4,1,101,0,0,7,20
C00767,4,0,112,7,25,4,82
C00768,1,1,39,6,34,3,22
C00769,1,0,52,2,10,6,98
C00770,4,0,155,14,74,6,32
